source,target
belgian indie,belgian new wave
country blues,piano blues
bubblegum dance,classic danish pop
bubblegum dance,dansktop
bubblegum dance,italian disco
dansktop,italian disco
j-pop,japanese rockabilly
j-rock,japanese rockabilly
japanese city pop,japanese rockabilly
japanese new wave,japanese rockabilly
europop,schlager
europop,volksmusik
deep free jazz,soukous
german jazz,jazz double bass
jazz double bass,norwegian jazz
modern swing,new orleans jazz
ecm-style jazz,electric bass
spytrack,vintage italian soundtrack
champeta,cumbia
champeta,cumbia funk
champeta,latin afrobeat
avant-garde,classical piano
canadian metal,nwobhm
disco,vintage french electronic
disco house,hi-nrg
disco house,vintage french electronic
hi-nrg,vintage french electronic
post-disco,vintage french electronic
kannada bhava geethe,sandalwood
canadian punk,classic canadian rock
cuatro venezolano,folklore venezolano
folklore venezolano,venezuelan rock
didgeridoo,fourth world
dutch cabaret,levenslied
folk brasileiro,forro
folk brasileiro,sertanejo
folk brasileiro,viola caipira
forro,viola caipira
mpb,viola caipira
sertanejo,viola caipira
romanian folk,russian folk
choro,umbanda
minimal wave,zolo
classic israeli pop,judaica
classic israeli pop,messianic praise
deep hardcore punk,deep punk rock
freakbeat,medway sound
freakbeat,mod revival
medway sound,mod revival
chicago soul,deep northern soul
brass ensemble,concert band
arabic jazz,palestinian pop
danseband,norwegian pop
danseband,norwegian rock
punjabi folk,punjabi pop
cumbia funk,porro
eastern bloc groove,via
classic norwegian pop,hardingfele
classic norwegian pop,norwegian folk
classic norwegian pop,norwegian jazz
hardingfele,norwegian folk
hardingfele,norwegian jazz
norwegian folk,norwegian jazz
serbian folk,starogradska
starogradska,turbo folk
kosovan folk,sevdah
kosovan folk,starogradska
kosovan folk,yugoslav rock
starogradska,yugoslav rock
classical percussion,gamelan
classical percussion,modern performance
gamelan,modern performance
bhangra,punjabi folk
classic swedish pop,swedish prog
uzbek pop,via
bengali folk,indian folk
punk tuga,romanian rock
australian alternative rock,kiwi rock
australian alternative rock,zolo
dance rock,kiwi rock
kiwi rock,zolo
crust punk,hardcore
crust punk,straight edge
hardcore,powerviolence
powerviolence,punk
powerviolence,straight edge
british singer-songwriter,british soul
british soul,chamber psych
nwobhm,stoner metal
nwobhm,stoner rock
ambient,organic ambient
berlin school,organic ambient
krautrock,organic ambient
classic japanese jazz,japanese jazz
harp,new age
dutch rock,glam metal
dutch rock,hard rock
flamenco guitar,jazz fusion
flamenco guitar,jazz guitar
african percussion,west african jazz
baile pop,brazilian composition
baile pop,choro
brazilian composition,brazilian indie
brazilian composition,musica popular paraense
choro,musica popular paraense
exotica,vintage french electronic
library music,vintage french electronic
moog,vintage french electronic
spytrack,vintage french electronic
deathrock,finnish punk
early modern classical,polish contemporary classical
chamber choir,norwegian choir
classic finnish pop,finnish dance pop
classic iskelma,finnish dance pop
finnish dance pop,iskelma
finnish dance pop,suomi rock
post-disco soul,rare groove
italian new wave,minimal wave
contemporary folk,michigan indie
classic greek pop,kritika
entehno,kritika
kritika,laiko
kritika,neo kyma
kritika,rebetiko
bulgarian pop,bulgarian rock
bulgarian pop,classic bulgarian pop
bulgarian rock,classic bulgarian pop
classic norwegian pop,norwegian singer-songwriter
chanson quebecois,country quebecois
argentine jazz,bandoneon
argentine jazz,ecm-style jazz
argentine jazz,tango
bandoneon,ecm-style jazz
ecm-style jazz,tango
ecm-style jazz,spiritual jazz
brazilian indie,choro
deep northern soul,northern soul
afrikaans,south african country
macedonian folk,narodna muzika
macedonian folk,serbian folk
macedonian folk,sevdah
macedonian folk,turbo folk
narodna muzika,serbian folk
serbian folk,sevdah
serbian folk,turbo folk
classic pakistani pop,hindustani vocal
classic pakistani pop,indian classical
armenian folk,armenian pop
dutch cabaret,streektaal
dutch rock,streektaal
french movie tunes,musique pour enfants
french pop,musique pour enfants
bangla,rabindra sangeet
filmi,kannada bhava geethe
classic czech pop,czech pop
czech folk,czech pop
bangla,bengali folk
classic soundtrack,german soundtrack
electro,post-disco soul
funk,post-disco soul
jazz funk,post-disco soul
post-disco soul,quiet storm
lo-fi,new wave pop
no wave,scottish rock
post-punk,scottish rock
scottish rock,uk post-punk
classic uk pop,new age
dark post-punk,neue deutsche welle
dark wave,neue deutsche welle
deathrock,neue deutsche welle
ethereal wave,neue deutsche welle
art punk,riot grrrl
art punk,twee pop
nwobhm,uk doom metal
nwothm,uk doom metal
highlife,rumba congolaise
classic canadian rock,deep new wave
chicha,peruvian rock
crust punk,finnish hardcore
crust punk,finnish punk
finnish hardcore,finnish punk
early us punk,experimental
early us punk,grunge
early us punk,math rock
early us punk,noise punk
early us punk,noise rock
early us punk,post-hardcore
hardcore punk,noise punk
noise punk,punk
dansband,rockabilly
danspunk,rockabilly
neo-traditional bluegrass,old-time
dream pop,minimal wave
gothic post-punk,new wave
gothic post-punk,post-punk
carnatic,indian jazz
hindustani classical,indian jazz
australian comedy,australian rock
australian rock,comic
classic j-rock,electro
classic j-rock,techno kayo
classic j-rock,zolo
electro,japanese city pop
electro,shibuya-kei
electro,techno kayo
electro,zolo
japanese city pop,zolo
proto-techno,techno kayo
shibuya-kei,zolo
techno kayo,zolo
cuatro venezolano,venezuelan rock
deep hardcore punk,skate punk
post-hardcore,thrash core
instrumental rock,jazz funk
canterbury scene,garage rock
country rock,outsider
halloween,novelty
indonesian city pop,keroncong
japanese city pop,techno kayo
japanese jazz,japanese new wave
japanese jazz,techno kayo
japanese new wave,shibuya-kei
japanese new wave,techno kayo
shibuya-kei,techno kayo
classic french pop,french rock
greek metal,nwothm
new wave of thrash metal,power thrash
japanese new wave,japanese post-punk
japanese new wave,synth punk
japanese new wave,zolo
japanese post-punk,synth punk
japanese post-punk,zolo
granada indie,spanish new wave
oi,spanish punk
oi,street punk espanol
spanish punk,street punk espanol
new wave pop,ska revival
carnaval limburg,classic belgian pop
carnaval limburg,levenslied
carnaval limburg,nederpop
classic belgian pop,levenslied
classic belgian pop,nederpop
drama,vintage radio show
german country,vintage schlager
boston hardcore,deep hardcore punk
classic portuguese pop,musica de intervencao
classic portuguese pop,portuguese jazz
musica de intervencao,portuguese jazz
classic schlager,discofox
discofox,german rock
discofox,partyschlager
british electroacoustic,british soundtrack
british electroacoustic,hauntology
british electroacoustic,theme
british soundtrack,hauntology
classic garage rock,medway sound
andean,chilean hardcore
african reggae,mbalax
dusseldorf electronic,neue deutsche todeskunst
musica nativista,rock gaucho
musica nativista,sertanejo
musica nativista,sertanejo tradicional
musica nativista,sertanejo universitario
rock gaucho,sertanejo tradicional
deep jazz fusion,jazz guitar
argentine indie,canto popular uruguayo
argentine indie,rio de la plata
nordic folk,norwegian folk
ambient,british experimental
synth punk,uk post-punk
german hard rock,melodic metal
german hard rock,neo-trad metal
montenegrin pop,narodna muzika
montenegrin pop,sevdah
montenegrin pop,starogradska
narodna muzika,starogradska
sevdah,starogradska
british folk,pub rock
british folk,symphonic rock
canterbury scene,pub rock
deep psychobilly,uk rockabilly
neo-rockabilly,psychobilly
harmonica blues,piedmont blues
cowpunk,deep new wave
carnaval,levenslied
carnaval,nederpop
brega,forro tradicional
finnish punk,glam punk
melodic metal,nwothm
french post-punk,french rock
cantautor,cantautor catala
cantautor,catalan folk
cantautor catala,catalan folk
cantautor catala,nova canco
cantautor catala,rock catala
catalan folk,nova canco
catalan folk,rock catala
nova canco,rock catala
celtic,classic uk pop
celtic,folk rock
celtic rock,folk
celtic rock,traditional british folk
celtic rock,traditional folk
classic uk pop,traditional british folk
cymraeg,welsh folk
griot,west african jazz
afropop,musique mandingue
desert blues,mbalax
desert blues,musique mandingue
malian blues,mbalax
malian blues,musique mandingue
mande pop,musique mandingue
mbalax,musique mandingue
mbalax,wassoulou
musique mandingue,wassoulou
musique mandingue,world
autoharp,comic
bangla,classic pakistani pop
bangla,ghazal
bangla,pakistani folk
classic pakistani pop,pakistani folk
ghazal,pakistani folk
classic finnish pop,finnish pop
classic finnish pop,suomi rock
classic finnish rock,finnish pop
classic iskelma,finnish pop
classic iskelma,suomi rock
finnish pop,iskelma
finnish pop,suomi rock
iskelma,suomi rock
batak,indonesian worship
czech pop,czech rock
czech pop,slovak pop
dansband,swedish alternative rock
classic indo pop,pop minang
dangdut,pop minang
classic bollywood,rabindra sangeet
classic pakistani pop,rabindra sangeet
filmi,rabindra sangeet
ghazal,rabindra sangeet
indian folk,rabindra sangeet
modern bollywood,rabindra sangeet
rabindra sangeet,sufi
japanoise,power noise
classic norwegian pop,danseband
21st century classical,microtonal
early french punk,french punk
classic czech pop,mluvene slovo
new romantic,twee pop
new wave pop,twee pop
dc hardcore,emo
dc hardcore,emo punk
dc hardcore,screamo
arab folk,arab groove
arab groove,arabic jazz
arab groove,classic arab pop
arab groove,lebanese pop
arabic jazz,classic arab pop
colombian rock,folclor colombiano
colombian rock,musica llanera
black thrash,neo-trad metal
crossover thrash,neo-trad metal
crossover thrash,nwothm
chutney,classic pakistani pop
french reggae,uk dub
french reggae,uk reggae
euskal rock,latin alternative
latin alternative,punk euskera
latin alternative,spanish punk
arab folk,arab pop
arab folk,lebanese pop
arab pop,arabic jazz
arab pop,oud
arabic jazz,lebanese pop
lebanese pop,oud
art rock,new jersey indie
experimental,new jersey indie
experimental rock,new jersey indie
new jersey indie,no wave
new jersey indie,post-punk
new jersey indie,twee pop
british experimental,uk experimental electronic
experimental rock,uk experimental electronic
industrial,uk experimental electronic
industrial rock,uk experimental electronic
classic swedish pop,folkmusik
classic swedish pop,vintage swedish pop
folkmusik,vintage swedish pop
